aws_region_name,aws_sub_region_name,aws_municipality_name,aws_neighborhood_name
"",Jawa Tengah,Surakarta,Banjarsari
"",Jawa Barat,Depok,Beji
"",DKI Jakarta,Jakarta Timur,Pasar Rebo
"",Jawa Timur,Lamongan,Babat
"",Jawa Tengah,Klaten,Kalikotes
"",Jawa Timur,Probolinggo Kota,Kedopok
"",Jawa Timur,Banyuwangi,Tegalsari
JABODETABEK,DKI Jakarta,Jakarta,Kelapa Gading
"",Jawa Tengah,Sukoharjo,Nguter
"",Jawa Tengah,Sragen,Sragen
"",Banten,Serang Kabupaten,Tunjung Teja
"",Banten,Serang Kabupaten,Ciruas
"",Jawa Tengah,Kudus,Kota Kudus
"",Jawa Barat,Karawang,Purwasari
"",Kalimantan Timur,Balikpapan,Balikpapan Barat
"",Jawa Tengah,Purbalingga,Kemangkon
"",Jawa Timur,Jombang,Kudu
Bandung Raya,Jawa Barat,Bandung Kabupaten,Solokan Jeruk
"",Sulawesi Tengah,Sigi,Sigi Biromaru
"",Jawa Timur,Bojonegoro,Kepoh Baru
"",Riau,Kuantan Singingi,""
"",Maluku Utara,Ternate,Ternate Utara
"",Jawa Barat,Karawang,Pakisjaya
"",Sulawesi Selatan,Luwu,Bupon
"",Jawa Tengah,Wonosobo,Kalikajar
"",Jawa Barat,Sukabumi,Cicantayan
Bandung Raya,Jawa Barat,Cimahi,Cimahi Tengah
JABODETABEK,Jawa Barat,Depok,Beji
"",Banten,Tangerang Kabupaten,Kelapa Dua
"",Jawa Barat,Bandung Kota,Buahbatu
"",Sumatera Selatan,Banyu Asin,Talang Kelapa
"",Sumatera Utara,Medan,Medan Barat
"",Jawa Barat,Bandung Kota,Regol
"",Banten,Serang Kota,Walantaka
"",Jawa Barat,Bandung Barat,Cihampelas
"",Sumatera Barat,Padang,Kuranji
"",Jawa Barat,Banjar,Langensari
"",Jawa Barat,Sukabumi Kabupaten,Cisaat
"",Sulawesi Selatan,Sidenreng Rappang,""
"",Banten,Serang Kota,Curug
"",Jawa Tengah,Rembang,Sluke
"",Jawa Tengah,Wonogiri,Wonogiri
"",Jawa Barat,Subang,Pagaden
"",Lampung,Bandar Lampung,Enggal
JABODETABEK,Jawa Barat,Bogor,Bogor Selatan
"",Jawa Barat,Majalengka,Talaga
"",Jawa Barat,Pangandaran,""
"",Kalimantan Tengah,Kotawaringin Barat,Arut Selatan
"",Kepulauan Riau,Bintan,""
"",Jawa Timur,Sampang,Pangarengan
"",Jawa Tengah,Wonogiri,Batuwarno
"",Bengkulu,Mukomuko,Kota Mukomuko
"",Nusa Tenggara Barat,Lombok Barat,Kuripan
"",Sulawesi Selatan,Luwu Utara,""
"",Jawa Timur,Lumajang,Tempeh
"",Nusa Tenggara Timur,Sikka,Alok
"",Jawa Timur,Gresik,Menganti
"",Lampung,Bandar Lampung,Kedaton
"",Jawa Barat,Bogor Kabupaten,Cigudeg
"",Daerah Istimewa Yogyakarta,Kulon Progo,Panjatan
"",Jawa Barat,Karawang,Jatisari
"",Banten,Serang Kabupaten,Ciomas
"",Jawa Barat,Sukabumi Kabupaten,Kadudampit
"",Jawa Timur,Malang,Kepanjen
"",Sulawesi Selatan,Gowa,Pattallassang
"",Jawa Tengah,Magelang Kabupaten,Pakis
"",Jambi,Jambi,Telanai Pura
"",Jawa Tengah,Boyolali,Karanggede
"",Jawa Barat,Sukabumi Kota,Warudoyong
"",Jawa Tengah,Semarang,Semarang Selatan
"",Jawa Timur,Kediri Kabupaten,Kandangan
"",Banten,Serang,Cipocok Jaya
"",Jawa Timur,Kediri Kabupaten,Ngancar
"",Nusa Tenggara Timur,Sumba Tengah,Katikutana Selatan
"",Kepulauan Bangka Belitung,Belitung Timur,Manggar
"",Jawa Tengah,Semarang,Gajahmungkur
"",Jawa Barat,Karawang,Cikampek
"",Jawa Timur,Batu,""
"",Jawa Tengah,Purworejo,Ngombol
"",Daerah Istimewa Yogyakarta,Yogyakarta,Gondomanan
"",Daerah Istimewa Yogyakarta,Kulon Progo,Kokap
"",Jawa Barat,Sukabumi Kabupaten,Cikakak
"",Jawa Timur,Magetan,Takeran
"",Jambi,Tebo,Tebo Tengah
"",Jawa Barat,Bandung Kabupaten,Pacet
"",Riau,Pelalawan,""
JABODETABEK,Jawa Barat,Bogor,Dramaga
JABODETABEK,Jawa Barat,Bekasi,Muara Gembong
"",Jawa Tengah,Purbalingga,Bojongsari
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Panggang
"",Jambi,Bungo,Tanah Tumbuh
"",Jawa Timur,Mojokerto,Gedek
Bandung Raya,Jawa Barat,Bandung,Cicendo
"",Kalimantan Selatan,Kotabaru,""
"",Sulawesi Selatan,Gowa,Manuju
"",Sumatera Utara,Binjai,Binjai Barat
"",Jawa Tengah,Jepara,Kembang
"",Aceh,Aceh Barat Daya,Tangantangan
"",Jawa Tengah,Temanggung,Bejen
"",Jawa Tengah,Wonosobo,Kepil
"",Jawa Timur,Jombang,Ngusikan
"",Jawa Timur,Madiun Kabupaten,Wonoasri
"",Jawa Timur,Surabaya,Tegalsari
"",Lampung,Bandar Lampung,Tanjung Karang Pusat
"",Jawa Timur,Banyuwangi,Kabat
JABODETABEK,Jawa Barat,Bogor Kabupaten,Cigombong
"",Jawa Tengah,Kudus,Kaliwungu
"",Jawa Timur,Tuban,Semanding
"",Jawa Timur,Pasuruan Kota,Purworejo
"","","",""
"",Jawa Timur,Gresik,Benjeng
"",Jawa Timur,Banyuwangi,Cluring
"",Jawa Tengah,Jepara,Pakis Aji
"",Banten,Serang Kabupaten,Cinangka
"",Jawa Barat,Bandung Kabupaten,Banjaran
"",Jawa Timur,Jember,Mayang
"",Jawa Timur,Tuban,Jenu
"",Sumatera Utara,Toba Samosir,Balige
"",Jawa Timur,Gresik,Dukun
"",Bali,Bangli,Susut
"",Sumatera Barat,Solok,Lubuk Sikarah
"",Jawa Timur,Malang Kabupaten,Kasembon
"",Nusa Tenggara Barat,Lombok Barat,""
"",Jawa Timur,Madiun Kabupaten,Saradan
"",Jawa Barat,Cianjur,Bojongpicung
"",Jawa Barat,Kuningan,Luragung
"",Jawa Tengah,Batang,Reban
"",Jawa Timur,Mojokerto,Jetis
JABODETABEK,Banten,Tangerang,Benda
"",Banten,Serang Kabupaten,Pamarayan
JABODETABEK,Banten,Tangerang,Sindang Jaya
"",Sumatera Selatan,Banyu Asin,Sembawa
"",Jawa Timur,Sidoarjo,Sidoarjo
"",Jawa Barat,Bandung Barat,Parongpong
"",Jawa Tengah,Surakarta,Pasar Kliwon
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Cibitung
"",Jawa Barat,Bogor Kabupaten,Kemang
"",Sumatera Utara,Medan,Medan Sunggal
"",Jawa Timur,Mojokerto Kabupaten,Sooko
"",Jawa Tengah,Pekalongan Kota,Pekalongan Barat
JABODETABEK,DKI Jakarta,Jakarta Selatan,Pesanggrahan
"",Jawa Tengah,Klaten,Trucuk
"",Jawa Tengah,Magelang Kabupaten,Kajoran
Bandung Raya,Jawa Barat,Cimahi,Cimahi Selatan
Bandung Raya,Jawa Barat,Bandung Kota,Bandung Wetan
"",Jawa Barat,Bandung Kota,Babakan Ciparay
"",Jawa Timur,Blitar Kabupaten,Garum
"",Jawa Timur,Mojokerto Kabupaten,Mojoanyar
"",Jawa Barat,Indramayu,Haurgeulis
"",Jawa Barat,Sukabumi Kabupaten,Cidahu
"",Kalimantan Selatan,Banjarmasin,Banjarmasin Timur
"",Jawa Barat,Subang,Purwadadi
"",Kalimantan Selatan,Banjarmasin,Banjarmasin Barat
JABODETABEK,Banten,Tangerang Kabupaten,Sepatan Timur
"",Sumatera Utara,Dairi,Sitinjo
"",Jawa Timur,Kediri Kabupaten,Tarokan
"",Kalimantan Timur,Bontang,Bontang Utara
Bandung Raya,Jawa Barat,Bandung,Bandung Kidul
"",Aceh,Aceh Timur,""
"",Sumatera Utara,Pematangsiantar,Siantar Marimbun
Bandung Raya,Jawa Barat,Bandung Kabupaten,Pasirjambu
"",Jawa Barat,Karawang,Pedes
"",Jawa Timur,Ngawi,Kendal
JABODETABEK,Jawa Barat,Bekasi,Kedungwaringin
Bandung Raya,Jawa Barat,Bandung,Sukajadi
"",Jawa Tengah,Semarang Kota,Tembalang
"",Jawa Barat,Bandung Kota,Lengkong
"",Jawa Barat,Bandung Kabupaten,Margahayu
JABODETABEK,Jawa Barat,Bogor Kabupaten,Ciomas
"",Jawa Barat,Bandung Kabupaten,Cileunyi
"",Jawa Tengah,Tegal Kabupaten,Bumijawa
"",Bali,Tabanan,Kediri
"",Jawa Barat,Bogor Kabupaten,Cisarua
"",Jawa Barat,Purwakarta,Jatiluhur
"",Banten,Tangerang Kabupaten,Pakuhaji
"",Banten,Tangerang,Kelapa Dua
"",Jawa Barat,Bandung Kabupaten,Dayeuhkolot
"",Jawa Tengah,Boyolali,Sambi
"",Jawa Barat,Garut,Cisurupan
"",Jawa Barat,Sukabumi Kota,Cibeureum
JABODETABEK,DKI Jakarta,Jakarta Pusat,Johar Baru
JABODETABEK,Jawa Barat,Bekasi,Bekasi Timur
JABODETABEK,Jawa Barat,Bekasi,Pondokmelati
"",Jawa Tengah,Klaten,Kemalang
"",Jawa Timur,Bojonegoro,Kedungadem
"",Sumatera Utara,Deli Serdang,STM Hilir
"",Kepulauan Bangka Belitung,Bangka Barat,Kelapa
"",Jawa Tengah,Demak,Sayung
"",Aceh,Banda Aceh,Syiah Kuala
"",Jawa Timur,Magetan,Barat
"",Kepulauan Riau,Karimun,Karimun
"",Sumatera Utara,Pematangsiantar,Siantar Utara
"",Jawa Barat,Karawang,Tirtajaya
JABODETABEK,Banten,Tangerang,Curug
"",Riau,Indragiri Hilir,Tembilahan
"",Kalimantan Selatan,Barito Kuala,Cerbon
"",Banten,Lebak,Cigemblong
JABODETABEK,Jawa Barat,Bekasi,Sukawangi
"",Jawa Tengah,Temanggung,Kaloran
"",Sumatera Barat,Padang Panjang,Padang Panjang Timur
"",Jawa Barat,Garut,Cikelet
"",Jawa Timur,Surabaya,Karang Pilang
"",Jawa Timur,Malang,Blimbing
"",Jawa Tengah,Klaten,Jogonalan
"",Kepulauan Bangka Belitung,Bangka,""
JABODETABEK,Jawa Barat,Bogor Kabupaten,Jonggol
"",Bali,Tabanan,Pupuan
"",Jawa Timur,Kediri Kabupaten,Gurah
"",Jawa Barat,Sukabumi Kota,Gunung Puyuh
"",Jawa Barat,Majalengka,Kadipaten
"",Jawa Tengah,Banyumas,Purwokerto Utara
"",Jawa Timur,Nganjuk,Nganjuk
"",Jawa Timur,Situbondo,Sumbermalang
"",Jawa Timur,Situbondo,""
"",Aceh,Banda Aceh,Kuta Alam
JABODETABEK,Jawa Barat,Bekasi Kota,Pondokmelati
JABODETABEK,DKI Jakarta,Jakarta,Cakung
"",Jawa Tengah,Klaten,Karangnongko
"",Jawa Timur,Jombang,Kabuh
"",Jawa Timur,Mojokerto,""
"",Sumatera Utara,Deli Serdang,Patumbak
"",Kalimantan Selatan,Banjarmasin,Banjarmasin Utara
"",Jawa Tengah,Pekalongan Kabupaten,Sragi
"",Nusa Tenggara Barat,Bima,Mpunda
"",Jawa Tengah,Sragen,Sumberlawang
"",Jawa Timur,Bondowoso,Sukosari
"",Lampung,Lampung Selatan,Sidomulyo
"",Jawa Barat,Indramayu,Terisi
"",Jambi,Tebo,Rimbo Bujang
"",Jawa Timur,Nganjuk,Gondang
"",Jawa Timur,Jombang,""
"",Sumatera Selatan,Ogan Komering Ulu,Batu Raja Timur
"",Kalimantan Tengah,Kotawaringin Barat,Kumai
"",Nusa Tenggara Barat,Dompu,Manggalewa
JABODETABEK,Jawa Barat,Bogor Kabupaten,Kemang
"",Jawa Timur,Malang Kabupaten,Lawang
"",Daerah Istimewa Yogyakarta,Bantul,Sewon
"",Banten,Serang Kabupaten,Jawilan
"",Jawa Timur,Pasuruan Kabupaten,Rembang
"",Jawa Barat,Bogor Kota,Bogor Utara
"",Jawa Tengah,Pemalang,Taman
JABODETABEK,Jawa Barat,Bekasi,Bekasi Selatan
"",Banten,Pandeglang,Cikedal
"",Jawa Tengah,Demak,Wonosalam
"",Jawa Tengah,Wonogiri,Ngadirojo
"",Lampung,Lampung Barat,""
Bandung Raya,Jawa Barat,Bandung,Cinambo
"",Jawa Timur,Bondowoso,Binakal
"",Lampung,Lampung Selatan,Way Sulan
JABODETABEK,Jawa Barat,Bogor Kabupaten,Pamijahan
JABODETABEK,Jawa Barat,Bogor,Tenjo
"",Jawa Barat,Majalengka,Cigasong
"",Banten,Lebak,Cipanas
JABODETABEK,Banten,Tangerang Kabupaten,Sukamulya
"",Jawa Barat,Sukabumi Kabupaten,Cicantayan
"",Sulawesi Tengah,Palu,Palu Utara
JABODETABEK,Jawa Barat,Bekasi,Cikarang Barat
"",Jawa Barat,Bandung Kabupaten,Bojongsoang
"",Banten,Tangerang Kota,Pinang
"",Jawa Barat,Cimahi,Cimahi Tengah
JABODETABEK,DKI Jakarta,Jakarta Selatan,Cilandak
"",Kepulauan Riau,Batam,Lubuk Baja
"",Jawa Timur,Pasuruan Kabupaten,Gempol
"",Jawa Timur,Sidoarjo,Balong Bendo
"",Bali,Karangasem,Selat
"",Jawa Barat,Cirebon Kabupaten,Sumber
"",Jawa Tengah,Boyolali,Gladagsari
"",Banten,Pandeglang,Cadasari
"",Jawa Timur,Madiun Kabupaten,Kebonsari
"",Riau,Kampar,""
"",Jawa Timur,Banyuwangi,Glagah
"",Nusa Tenggara Timur,Sikka,Nita
"",Jambi,Jambi,Jambi Selatan
"",Nusa Tenggara Timur,Belu,Atambua Barat
"",Sumatera Utara,Langkat,Selesai
"",Sumatera Barat,Padang,Padang Selatan
"",Jawa Barat,Subang,Kalijati
"",Jawa Timur,Nganjuk,Prambon
"",Jawa Timur,Tuban,Senori
"",Nusa Tenggara Barat,Mataram,Sekarbela
"",Jawa Barat,Tasikmalaya Kabupaten,Rajapolah
"",Jawa Timur,Pasuruan Kabupaten,Tosari
"",Jawa Tengah,Grobogan,Kedungjati
"",Sumatera Selatan,Musi Banyuasin,Sekayu
"",Jawa Timur,Situbondo,Jangkar
"",Lampung,Lampung Tengah,Seputih Banyak
"",Sumatera Utara,Tapanuli Tengah,Pinangsori
"",Banten,Serang Kabupaten,Gunung Sari
"",Jawa Timur,Jombang,Jombang
"",Jawa Timur,Surabaya,Gunung Anyar
"",Jawa Timur,Malang Kota,Klojen
JABODETABEK,DKI Jakarta,Jakarta Barat,Cengkareng
"",Jawa Barat,Sumedang,Jatinangor
JABODETABEK,DKI Jakarta,Jakarta Pusat,Senen
"",Jawa Tengah,Karanganyar,Tawangmangu
"",Jawa Barat,Bandung Barat,Ngamprah
"",Jawa Tengah,Karanganyar,Mojogedang
"",Jawa Barat,Cimahi,Cimahi Utara
JABODETABEK,Banten,Tangerang Kabupaten,Panongan
"",Banten,Lebak,Sobang
Bandung Raya,Jawa Barat,Bandung Kota,Bandung Kulon
"",Jawa Barat,Bogor Kabupaten,Parung
"",Bali,Bangli,""
"",Jawa Barat,Subang,Cijambe
"",Sumatera Utara,Deli Serdang,Namo Rambe
"",Jawa Tengah,Pekalongan Kabupaten,Bojong
"",Nusa Tenggara Timur,Sumba Barat Daya,Kodi Balaghar
"",Jawa Timur,Pacitan,Arjosari
"",Jawa Timur,Bangkalan,Modung
"",Jawa Timur,Situbondo,Panji
"",Banten,Pandeglang,Munjul
Bandung Raya,Jawa Barat,Bandung Barat,Cipongkor
"",Aceh,Aceh Besar,Peukan Bada
"",Kepulauan Bangka Belitung,Pangkalpinang,Rangkui
"",Aceh,Sabang,Sukakarya
JABODETABEK,Jawa Barat,Bogor,Tanjungsari
"",Jawa Tengah,Wonosobo,Garung
"",Jawa Barat,Indramayu,Krangkeng
"",Jawa Timur,Batu,Batu
"",DKI Jakarta,Jakarta Selatan,Mampang Prapatan
"",Jawa Barat,Cianjur,Cianjur
"",Jawa Barat,Bandung Barat,Padalarang
JABODETABEK,Jawa Barat,Bogor Kota,Bogor Barat
"",Riau,Pekanbaru,Tenayan Raya
JABODETABEK,Banten,Tangerang Kota,Cipondoh
JABODETABEK,Banten,Tangerang Selatan,Serpong Utara
"",Jawa Tengah,Salatiga,Sidorejo
"",Jawa Tengah,Banjarnegara,Banjarnegara
Bandung Raya,Jawa Barat,Bandung Kabupaten,Ciparay
"",Jawa Barat,Bogor Kabupaten,Nanggung
"",Jawa Barat,Bogor Kabupaten,Ciawi
"",Jawa Tengah,Sragen,Gesi
"",Banten,Lebak,Cibadak
JABODETABEK,DKI Jakarta,Jakarta,Senen
JABODETABEK,Jawa Barat,Bekasi,Cikarang Utara
"",Jawa Timur,Pasuruan Kabupaten,Pasrepan
Bandung Raya,Jawa Barat,Bandung,Arjasari
"",Jawa Tengah,Pekalongan Kabupaten,Bandar
"",Jawa Timur,Bangkalan,Blega
"",Kalimantan Selatan,Tabalong,Tanta
"",Jawa Barat,Karawang,Pangkalan
"",Kalimantan Barat,Pontianak Kabupaten,Mempawah Hilir
"",Kalimantan Barat,Ketapang,Delta Pawan
"",Daerah Istimewa Yogyakarta,Gunung Kidul,Nglipar
"",Nusa Tenggara Timur,Sumba Barat,Kota Waikabubak
"",Jawa Tengah,Kebumen,Buayan
"",Sumatera Utara,Batu Bara,Medang Deras
"",Jawa Tengah,Pekalongan Kabupaten,Doro
"",Jawa Barat,Bekasi,Babelan
"",Nusa Tenggara Barat,Lombok Timur,Keruak
"",Jawa Tengah,Demak,Mijen
"",Lampung,Way Kanan,Baradatu
JABODETABEK,Jawa Barat,Bogor Kabupaten,Gunung Putri
"",Jawa Timur,Surabaya,Krembangan
"",Lampung,Bandar Lampung,Way Halim
"",Jawa Timur,Malang Kota,Blimbing
"",Jawa Timur,Surabaya,Tenggilis Mejoyo
"",Kepulauan Riau,Batam,Batam Kota
"",Jawa Barat,Bekasi Kota,Pondokgede
"",Jawa Timur,Mojokerto Kabupaten,Dlanggu
"",Jawa Timur,Gresik,Gresik
"",Jawa Barat,Bandung Kota,Bandung Kidul
"",Jawa Barat,Bogor Kota,Tanah Sareal
JABODETABEK,Jawa Barat,Bogor Kabupaten,Cijeruk
"",Jawa Tengah,Pekalongan Kabupaten,Tirto
"",Sulawesi Selatan,Makassar,Tallo
"",Jawa Barat,Garut,Wanaraja
"",Banten,Lebak,Rangkasbitung
"",Sulawesi Utara,Manado,Malalayang
"",Banten,Pandeglang,Mandalawangi
JABODETABEK,Jawa Barat,Bekasi,Cibitung
JABODETABEK,Jawa Barat,Bogor Kota,Tanah Sareal
"",Sumatera Utara,Langkat,Stabat
"",Nusa Tenggara Barat,Lombok Utara,Kayangan
"",Jawa Timur,Lumajang,Kunir
"",Sulawesi Selatan,Bulukumba,Rilau Ale
"",Sumatera Barat,Payakumbuh,Payakumbuh Timur
JABODETABEK,Jawa Barat,Bogor,Rumpin
"",Sumatera Barat,Sawahlunto,Silungkang
"",Sumatera Utara,Tanjungbalai,Tanjungbalai Utara
"",Jawa Tengah,Purworejo,Loano
"",Jawa Timur,Trenggalek,Pogalan
"",Nusa Tenggara Barat,Sumbawa,Labuhan Badas
"",Sulawesi Selatan,Bone,Ponre
"",Riau,Pelalawan,Bandar Petalangan
"",Jawa Barat,Bogor,Bogor Timur
"",Jawa Tengah,Batang,Limpung
JABODETABEK,Jawa Barat,Bogor,Sukaraja
"",Bengkulu,Bengkulu Selatan,Kota Manna
"",Jawa Barat,Sumedang,Situraja
"",Lampung,Lampung Timur,Sekampung Udik
JABODETABEK,Banten,Tangerang Kota,Karang Tengah
"",Jawa Barat,Sumedang,Cimanggung
"",Jawa Timur,Nganjuk,Pace
"",Daerah Istimewa Yogyakarta,Bantul,Pleret
"",Lampung,Bandar Lampung,Sukabumi
"",Kalimantan Timur,Balikpapan,Balikpapan Selatan
"",Kalimantan Selatan,Banjar,Martapura
"",Daerah Istimewa Yogyakarta,Bantul,Bambanglipuro
"",Jawa Barat,Bogor Kabupaten,Tenjolaya
"",Bali,Buleleng,""
"",Aceh,Aceh Besar,Montasik
"",Jawa Timur,Tulungagung,Tulungagung
"",Sumatera Utara,Tanjungbalai,Datuk Bandar
"",Banten,"",Pagedangan
"",Sulawesi Utara,Minahasa,Tondano Selatan
"",Jawa Tengah,Temanggung,Parakan
"",Jawa Barat,Cianjur,Kadupandak
"",Sumatera Utara,Asahan,Air Joman
"",Aceh,Aceh Tengah,Bebesen
"",Jawa Timur,Bojonegoro,""
"",Banten,Serang Kota,""
"",Sumatera Utara,Padangsidimpuan,Padangsidimpuan Batunadua
"",Jawa Barat,Bandung Kabupaten,Cimenyan
"",Jawa Tengah,Banyumas,Purwokerto Selatan
JABODETABEK,DKI Jakarta,Jakarta Utara,Koja
"",Kepulauan Riau,Natuna,Bunguran Barat
JABODETABEK,Banten,Tangerang Kabupaten,Sepatan
"",Jawa Barat,Cianjur,Cugenang
"",Kalimantan Barat,Sambas,Sambas
"",Jawa Barat,Pangandaran,Parigi
"",Jawa Timur,Ngawi,Geneng
"",Nusa Tenggara Timur,Kota Kupang,Alak
"",Jawa Tengah,Sragen,Plupuh
"",Jawa Timur,Blitar Kota,Sananwetan
"",Sulawesi Utara,Minahasa Utara,Kalawat
"",Jawa Barat,Sumedang,Ganeas
"",Jawa Timur,Lumajang,Sukodono
"",Jawa Tengah,Boyolali,Ampel
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Cikarang Pusat
"",Jawa Timur,Lumajang,Senduro
"",Jawa Barat,Bekasi Kabupaten,Muara Gembong
"",Jawa Barat,Cirebon Kabupaten,Pangenan
"",Jawa Tengah,Boyolali,Andong
"",Jawa Tengah,Batang,Gringsing
"",Banten,Lebak,Cileles
JABODETABEK,DKI Jakarta,Jakarta Barat,""
"",Jawa Timur,Pacitan,Ngadirojo
"",Sumatera Barat,Padang,Lubuk Kilangan
"",Sumatera Utara,Binjai,Binjai Selatan
"",Sulawesi Tengah,Morowali,Bungku Barat
"",Jawa Barat,Bandung,Nagreg
Bandung Raya,Jawa Barat,Bandung,Astanaanyar
JABODETABEK,Jawa Barat,Bekasi,Serang Baru
"",Jawa Tengah,Pati,Pucakwangi
"",Sumatera Barat,Agam,Sungai Pua
"",Sumatera Selatan,Prabumulih,Prabumulih Utara
"",Jawa Timur,Ngawi,Mantingan
"",Jambi,Muaro Jambi,Maro Sebo
"",Kalimantan Barat,Ketapang,Sandai
Bandung Raya,Jawa Barat,Bandung Barat,Padalarang
"",Jawa Barat,Bogor Kabupaten,Ciampea
"",Bali,Tabanan,Selemadeg
"",Jawa Barat,Bandung Kabupaten,Cicalengka
"",DKI Jakarta,Jakarta Timur,Cakung
"",Jawa Barat,Cianjur,Gekbrong
"",Kepulauan Riau,Bintan,Teluk Sebong
"",Jawa Tengah,Jepara,Jepara
"",Kalimantan Timur,Balikpapan,Balikpapan Tengah
"",Bali,Jembrana,Negara
"",Bali,Buleleng,Sukasada
"",Riau,Dumai,""
"",Jawa Tengah,Semarang Kota,Candisari
"",Jawa Barat,Subang,Subang
"",Jawa Barat,Bekasi Kabupaten,Karangbahagia
JABODETABEK,Jawa Barat,Bekasi Kabupaten,Cikarang Barat
"",Banten,Lebak,Cimarga
"",Kalimantan Selatan,Banjar,Banjar Baru Selatan
"",Bali,Badung,""
"",Jawa Timur,Trenggalek,Dongko
"",Daerah Istimewa Yogyakarta,Sleman,Cangkringan
"",Jawa Timur,Ponorogo,Jenangan
"",Papua Barat Daya,Sorong,Sorong Manoi
"",Kalimantan Selatan,Banjar,Telaga Bauntung
"",Lampung,Pesawaran,Punduh Pidada
"",Jawa Barat,Majalengka,Kasokandel
"",Jawa Timur,Pasuruan Kabupaten,Grati
"",Jawa Tengah,Rembang,Bulu
"",Bali,Denpasar,""
"",Jawa Timur,Ponorogo,Badegan
"",Kalimantan Selatan,Tanah Bumbu,Satui
"",Sumatera Selatan,Prabumulih,Prabumulih Selatan
"",Jawa Barat,Ciamis,Rancah
"",Kepulauan Bangka Belitung,Bangka,Belinyu
"",Jawa Tengah,Sukoharjo,""
"",Jawa Barat,Bandung Kabupaten,Nagreg
Bandung Raya,Jawa Barat,Bandung Kabupaten,Baleendah
JABODETABEK,Jawa Barat,Bogor Kabupaten,Citeureup
"",Jawa Barat,Cianjur,Cibinong
JABODETABEK,DKI Jakarta,Jakarta,Cilandak
"",Banten,Lebak,Curugbitung
"",Jawa Barat,Bandung Kabupaten,Arjasari
"",Jawa Barat,Majalengka,Palasah
"",Jawa Barat,Cirebon Kabupaten,Kedawung
"",Jawa Barat,"",Gunung Sindur
"",Jawa Tengah,Rembang,Sumber
"",Jawa Barat,Ciamis,Sadananya
"",Jawa Tengah,Sragen,Sukodono
"",Jawa Tengah,Purworejo,Butuh
"",Jawa Barat,Subang,Patokbeusi
"",Banten,Serang,Pabuaran
JABODETABEK,Banten,Tangerang,Kosambi
"",Sumatera Utara,Tebingtinggi,Padang Hulu
"",Sumatera Barat,Dharmasraya,""
"",Kalimantan Barat,Sintang,""
"",Lampung,Pringsewu,Pardasuka
"",Jawa Barat,Majalengka,Cingambul
"",Sumatera Barat,Agam,""
"",Sumatera Utara,Simalungun,Purba
"",Jawa Tengah,Cilacap,Kesugihan
"",Jawa Timur,Sumenep,Kota Sumenep
"",Kepulauan Bangka Belitung,Bangka,Pemali
"",Jawa Timur,Pasuruan,Purwosari
JABODETABEK,Jawa Barat,Bekasi,Medan Satria
"",Jawa Barat,Bogor,Ciawi
"",Banten,Lebak,Gunung Kencana
"",Jawa Timur,Surabaya,Rungkut
JABODETABEK,DKI Jakarta,Jakarta,Pesanggrahan
"",Jawa Barat,Bekasi Kota,Bekasi Selatan
JABODETABEK,DKI Jakarta,Jakarta,Pasar Rebo
JABODETABEK,DKI Jakarta,Jakarta Barat,Tambora
"",Jawa Tengah,Kendal,Brangsong
"",Jawa Tengah,Klaten,Jatinom
"",Jawa Timur,Jombang,Ploso
"",Bali,Karangasem,Manggis
"",Jawa Timur,Mojokerto Kabupaten,Dawar Blandong
"",Sumatera Barat,Padang,Padang Utara
"",Jawa Tengah,Kebumen,Klirong
"",Banten,Lebak,Lebak Gedong
"",Lampung,Bandar Lampung,Panjang
JABODETABEK,Jawa Barat,Bogor,Jonggol
"",Lampung,Lampung Tengah,Terbanggi Besar
"",Papua Barat Daya,Sorong,Mayamuk
"",Sumatera Utara,Pematangsiantar,Siantar Barat
"",Jawa Tengah,Sragen,Tangen
"",Lampung,Way Kanan,Blambangan Umpu
"",Jawa Barat,Cirebon Kabupaten,Jamblang
"",Jawa Barat,Sukabumi Kabupaten,Cireunghas
"",Sulawesi Selatan,Bulukumba,""
"",Jawa Tengah,Banjarnegara,Pejawaran
"",Jawa Barat,Kuningan,Pancalang
"",Jambi,Bungo,""
Bandung Raya,Jawa Barat,Bandung Kota,Antapani
"",Jawa Timur,Malang Kota,Sukun
"",Jawa Timur,Kediri Kota,Kota Kediri
"",Jawa Timur,Surabaya,Bubutan
"",Bali,Tabanan,Tabanan
Bandung Raya,Jawa Barat,Bandung,Regol
"",Banten,Tangerang Kota,Jati Uwung
"",Lampung,Pesawaran,Kedondong
"",Jawa Tengah,Banyumas,Purwokerto Barat
"",Nusa Tenggara Barat,Mataram,Sandubaya
JABODETABEK,Jawa Barat,Bogor Kabupaten,Kelapa Nunggal
JABODETABEK,Banten,Tangerang Kota,Periuk
"",Jawa Timur,Tulungagung,Rejotangan
"",Jawa Barat,Bandung Kabupaten,Ciwidey
"",Nusa Tenggara Barat,Lombok Barat,Sekotong
"",Jawa Timur,Probolinggo Kabupaten,Pajarakan
"",Jawa Barat,Cirebon Kabupaten,Depok
"",Jambi,Jambi,Kota Baru
"",Daerah Istimewa Yogyakarta,Kulon Progo,Galur
"",Jawa Timur,Malang,Karangploso
